label,in_change,out_change,in_file,out_file,in_loc,out_loc,in_change_file_r,out_change_file_r,in_change_loc_r,out_change_loc_r
0,35918.0,2427,682,58,110830,3296,0.0772224181078594,0.061356052179189,2.924135408066483e-06,6.643932936737713e-06
1,54.0,913,12,728,1519,112607,0.375,0.10451007326007326,2.3403359942375726e-05,5.337619549012306e-06
2,0.0,8,2,738,17,114109,0.0,0.005420054200542005,0.0,4.124023830671706e-06
3,5.0,233,12,728,224,113902,0.034722222222222224,0.02667124542124542,9.964923469387755e-05,9.132223941884879e-06
4,40.0,996,8,732,816,113310,0.625,0.17008196721311475,6.007304882737409e-05,1.077211398194438e-05
5,0.0,27,2,738,10,114116,0.0,0.018292682926829267,0.0,2.3660135300921868e-05
6,1.0,76,2,738,34,114092,0.25,0.051490514905149054,0.0008650519031141869,1.9592032023691924e-05
7,1.0,25,2,738,47,114079,0.25,0.016937669376693765,0.0004526935264825713,4.662688957801359e-06
8,6.0,73,3,737,399,113727,0.6666666666666666,0.033016734509271825,3.768820547609626e-05,1.6087419300931993e-06
9,0.0,14,1,739,15,114111,0.0,0.018944519621109608,0.0,8.179170573681182e-06
10,0.0,14,1,739,6,114120,0.0,0.018944519621109608,0.0,2.0446313821708143e-05
11,0.0,4,1,739,23,114103,0.0,0.005412719891745603,0.0,1.5241759066655642e-06
12,0.0,32,1,739,6,114120,0.0,0.04330175913396482,0.0,4.673443159247576e-05
13,0.0,23,1,739,20,114106,0.0,0.03112313937753721,0.0,1.0078348202548508e-05
14,0.0,2,1,739,44,114082,0.0,0.0027063599458728013,0.0,3.984374875488285e-07
15,0.0,0,1,739,14,114112,0.0,0.0,0.0,0.0
16,0.0,0,1,739,34,114092,0.0,0.0,0.0,0.0
17,0.0,36,2,738,9,114117,0.0,0.024390243902439025,0.0,3.50517451387611e-05
18,0.0,0,3,737,36,114090,0.0,0.0,0.0,0.0
19,0.0,153,1,739,3,114123,0.0,0.2070365358592693,0.0,0.00044688625430456614
20,0.0,16,1,739,20,114106,0.0,0.02165087956698241,0.0,7.0110248365554835e-06
