label,in_change,out_change,in_file,out_file,in_loc,out_loc,in_change_file_r,out_change_file_r,in_change_loc_r,out_change_loc_r
0,13.0,1334,20,720,2232,111894,0.0325,0.0926388888888889,2.609486003519996e-06,5.341396776378156e-06
1,2.0,104,2,738,99,114027,0.5,0.07046070460704607,0.00020406081012141618,9.212774610443584e-06
2,55.0,2294,21,719,4965,109161,0.12471655328798185,0.151930591429896,2.2311264450346786e-06,4.2325944217966505e-06
3,59.0,1884,10,730,1364,112762,0.59,0.2580821917808219,3.171197358123855e-05,1.2249088093100976e-05
4,15.0,944,14,726,669,113457,0.07653061224489796,0.09287682014954743,3.351498454959212e-05,1.2436969825579271e-05
5,166.0,2538,22,718,2245,111881,0.34297520661157027,0.16067358825018993,3.2936344561782926e-05,1.0104595502750307e-05
6,43.0,1997,18,722,2149,111977,0.13271604938271606,0.15366266543551863,9.310984948468028e-06,8.298752669215671e-06
7,134.0,3417,23,717,4751,109375,0.2533081285444234,0.20720392941604512,5.936558305132097e-06,6.575698349219713e-06
8,50.0,1277,19,721,2536,111590,0.13850415512465375,0.09321848310095628,7.774482779209665e-06,4.51249122590782e-06
9,100.0,2501,21,719,6064,108062,0.22675736961451248,0.16564010861646467,2.7194533594168794e-06,3.816642639774518e-06
10,8.0,314,9,731,253,113873,0.09876543209876543,0.04772761817905457,0.00012498242434657626,1.0899042963367866e-05
11,3.0,286,13,727,405,113721,0.01775147928994083,0.030261348005502064,1.828989483310471e-05,6.209696006069001e-06
12,27.0,485,16,724,999,113127,0.10546875,0.041868093922651936,2.705408110813516e-05,4.291508530107627e-06
13,1.0,195,6,734,90,114036,0.027777777777777776,0.04427792915531335,0.0001234567901234568,1.899984800121599e-05
14,4.0,204,10,730,192,113934,0.04,0.027945205479452055,0.00010850694444444444,9.325574455386452e-06
15,5.0,836,17,723,1352,112774,0.01730103806228374,0.06801724839313318,2.7353734112951227e-06,5.4830297343915456e-06
16,60.0,1368,18,722,4710,109416,0.18518518518518517,0.10526315789473684,2.7046398095933574e-06,2.6545099425368453e-06
17,133.0,3404,22,718,6738,107388,0.27479338842975204,0.2154975943276779,2.929473863850918e-06,4.7043842860385935e-06
18,253.0,2970,15,725,3650,110476,1.1244444444444444,0.2731034482758621,1.8990429724150872e-05,7.365388230357601e-06
19,12.0,896,14,726,956,113170,0.061224489795918366,0.0881542699724518,1.3130022233504315e-05,8.281686787345138e-06
20,289.0,528,13,727,477,113649,1.7100591715976332,0.05586710401015765,0.0012701677588351375,9.739797437669586e-06
21,318.0,2155,17,723,2312,111814,1.1003460207612457,0.17533154340574403,5.949102620897738e-05,8.336106619971886e-06
22,73.0,1886,27,713,5107,109019,0.10013717421124829,0.0979689366786141,2.7989242468852096e-06,3.3874557946223843e-06
23,32.0,665,16,724,2141,111985,0.125,0.0574067679558011,6.980984017691559e-06,2.7736082706245874e-06
24,0.0,118,5,735,232,113894,0.0,0.032108843537414965,0.0,4.465737349247304e-06
25,32.0,1470,11,729,959,113167,0.2644628099173554,0.1833146277590722,3.47946733704404e-05,1.3544997351953018e-05
26,72.0,2150,15,725,1554,112572,0.32,0.19770114942528735,2.9814701629373442e-05,1.229014660418562e-05
27,57.0,1429,13,727,1054,113072,0.33727810650887574,0.15120093111840016,5.130900986213179e-05,1.1990479307705134e-05
28,34.0,617,11,729,636,113490,0.2809917355371901,0.07694226212744731,8.405521933467822e-05,8.548116892796917e-06
29,36.0,332,11,729,1396,112730,0.2975206611570248,0.04140167103130066,1.8472754739287854e-05,2.109663351106188e-06
30,115.0,3025,30,710,3646,110480,0.12777777777777777,0.142018779342723,8.650964138669389e-06,7.509742556591434e-06
31,120.0,2308,16,724,7028,107098,0.46875,0.19924033149171272,2.4295046823033907e-06,3.06635682255837e-06
32,0.0,49,5,735,136,113990,0.0,0.013333333333333334,0.0,3.160751975147459e-06
33,109.0,2458,21,719,2470,111656,0.2471655328798186,0.16279223789654945,1.7866216459866576e-05,8.912568069829282e-06
34,21.0,590,11,729,2099,112027,0.17355371900826447,0.07357525876044395,4.7664431507460275e-06,2.509093625097771e-06
35,20.0,1180,12,728,862,113264,0.1388888888888889,0.13507326007326007,2.691630643676552e-05,1.2086007140494958e-05
36,81.0,2223,19,721,4050,110076,0.22437673130193905,0.1622746185852982,4.938271604938272e-06,4.9864538036346605e-06
37,274.0,5259,24,716,10936,103190,0.4756944444444444,0.3060405027932961,2.2910446842679547e-06,4.660226839886622e-06
38,1.0,165,9,731,135,113991,0.012345679012345678,0.025079799361605107,5.486968449931413e-05,1.07220940444616e-05
39,15.0,1138,19,721,1524,112602,0.04155124653739612,0.08307175706255931,6.458346250025833e-06,6.63149109345293e-06
40,219.0,2266,25,715,3090,111036,0.3504,0.12676923076923077,2.2936500455588024e-05,6.604464618081824e-06
41,39.0,1178,8,732,134,113992,0.609375,0.20116120218579234,0.0021719759411895747,7.711983977927752e-05
42,126.0,2995,17,723,6679,107447,0.4359861591695502,0.24367423317874867,2.8245395367275438e-06,4.1734103531871065e-06
43,2.0,979,18,722,1462,112664,0.006172839506172839,0.07533087103724223,9.356970287876548e-07,5.943607922272033e-06
44,19.0,945,6,734,311,113815,0.5277777777777778,0.21457765667574932,0.000196441310573712,2.6697581241516633e-05
45,24.0,302,6,734,156,113970,0.6666666666666666,0.06857402361489555,0.0009861932938856016,1.6986026462204403e-05
