Issue Type,Issue key,Issue id,Summary,Assignee,Reporter,Priority,Status,Resolution,Created,Updated,Due Date
Bug,KYLIN-5135,13413531,kylin启动成功，已有进程，但是web没有反应,,tieguanyin,Blocker,Open,,24/Nov/21 07:24,27/Jan/22 07:18,
Bug,KYLIN-4983,13373891,The stream cube will be paused when user append a batch segment first,liukun,liukun,Blocker,Closed,Fixed,20/Apr/21 16:10,06/Jan/22 06:52,
Bug,KYLIN-5131,13413108,java.lang.UnsupportedOperationException: API getTableSnapshots is not supported in Kylin 4.0,zhangyaqian,polarisc,Blocker,Closed,Fixed,22/Nov/21 09:17,06/Jan/22 06:47,
Bug,KYLIN-5143,13417596,关于org.apache.kylin.shaded.com.google.common启动报错问题,,tieguanyin,Blocker,Open,,15/Dec/21 03:26,22/Dec/21 05:44,
Bug,KYLIN-5137,13413941,关于jackson-datatype-joda-2.10.0.jar 问题,,tieguanyin,Blocker,Open,,26/Nov/21 04:12,15/Dec/21 03:21,
Bug,KYLIN-5142,13416475,Apache Log4j2report a bug： remote code execution vulnerability was found,zhangyaqian,mzz_q,Blocker,Resolved,Resolved,10/Dec/21 07:41,14/Dec/21 08:40,
Bug,KYLIN-5138,13414234,kylin停止时报错,,tieguanyin,Blocker,Open,,29/Nov/21 08:30,11/Dec/21 07:53,
Bug,KYLIN-5099,13406684,parquet file size is too big in kylin4 with spark3 than kylin3 with mr,,tanyao,Blocker,Open,,15/Oct/21 02:44,16/Nov/21 03:08,
Bug,KYLIN-5120,13410812,No Kylin instance registered 无注册实例，cube 查询报错,,frankhu855,Blocker,Open,,09/Nov/21 11:33,10/Nov/21 01:33,
Bug,KYLIN-5110,13409212,Kylin Tomcat Server not starting,,swaza10,Blocker,Open,,29/Oct/21 23:43,03/Nov/21 00:00,
Bug,KYLIN-5108,13408900,Unsupported Hive Metastore version (Unknown) - ,,mohammed.mishal,Blocker,Open,,28/Oct/21 13:10,01/Nov/21 01:30,
Bug,KYLIN-5107,13407672,"when excuting the cube job at ""Convert Cuboid Data to HFile"" step：Error running child ",,mzz_q,Blocker,Open,,21/Oct/21 05:28,26/Oct/21 01:11,
Bug,KYLIN-5102,13406751,learn_kylin项目，构建cube一直在构建，不能构建完成,,qingquan,Blocker,Closed,Fixed,15/Oct/21 09:27,18/Oct/21 03:40,
Bug,KYLIN-5098,13406091,build cube failure,,qingquan,Blocker,Resolved,Fixed,12/Oct/21 07:48,14/Oct/21 09:44,
Bug,KYLIN-5091,13401953,Kylin web UI http 404 error,,qingquan,Blocker,Resolved,Fixed,18/Sep/21 03:38,27/Sep/21 10:28,
Bug,KYLIN-5065,13396007,error when TrieDictionaryForestBuilder.build,,andy1986,Blocker,Open,,19/Aug/21 02:01,02/Sep/21 08:43,
