Issue Type,Issue key,Issue id,Summary,Assignee,Reporter,Priority,Status,Resolution,Created,Updated,Due Date
Bug,ATLAS-4494,13413390,Atlas start fails in embedded-hbase mode ,,ashisingla,Blocker,Open,,23/Nov/21 12:54,04/Mar/22 02:25,
Bug,ATLAS-3671,13292822,Maven Package Failure,,a1tair6,Blocker,Open,,20/Mar/20 03:16,01/Mar/22 19:47,
Bug,ATLAS-4361,13389806,Hive Hook can't send notification,,ighack,Blocker,Resolved,Done,15/Jul/21 09:37,14/Jan/22 09:00,
Bug,ATLAS-3905,13320136, The method hivedb. Getcatalogname() does not exist in version 2.1,,Duzt,Blocker,Open,,30/Jul/20 07:25,23/Dec/21 04:03,
Bug,ATLAS-4505,13416599,Update log4j2 version to 2.15.0,ana4,ana4,Blocker,Resolved,Fixed,10/Dec/21 16:00,15/Dec/21 03:46,
Bug,ATLAS-3930,13324635,Atlas server distribution contains 180+ CVEs,,sgauravk,Blocker,Open,,26/Aug/20 11:25,26/Aug/21 10:04,
Bug,ATLAS-2989,13202246,Full text search based dsl query is not bringing the results appropriately,pinal,abhi63269,Blocker,Open,,04/Dec/18 11:45,09/Aug/21 16:10,
Bug,ATLAS-2990,13202480,Full text search not working as expected,,abhi63269,Blocker,Open,,05/Dec/18 10:21,09/Aug/21 10:42,
Bug,ATLAS-3507,13266130,Apache atlas column lineage not found,,wo31415927@126.com,Blocker,Closed,Not A Problem,04/Nov/19 14:51,07/Apr/21 04:00,
Bug,ATLAS-4229,13368631,"[Regression] [DSL-Advanced search] If the search query does not match any results, then Atlas UI keep loading forever ",prasadpp13,umesh.padashetty,Blocker,Resolved,Resolved,30/Mar/21 11:31,31/Mar/21 13:47,
Bug,ATLAS-3401,13255164,Maven Package Failure,,qunxing,Blocker,Open,,06/Sep/19 06:32,08/Mar/21 03:17,
Bug,ATLAS-2411,13132707,Disabled Integration Test: EntityV2JerseyResourceIT.java:335,amestry,grahamwallis,Blocker,Resolved,Fixed,22/Jan/18 13:37,10/Feb/21 19:27,
Bug,ATLAS-2410,13132706,Disabled Integration Test: EntityV2JerseyResourceIT.java:330,amestry,grahamwallis,Blocker,Resolved,Fixed,22/Jan/18 13:37,10/Feb/21 19:27,
Bug,ATLAS-2409,13132705,Disabled Integration Test: EntityV2JerseyResourceIT.java:325,amestry,grahamwallis,Blocker,Resolved,Fixed,22/Jan/18 13:36,10/Feb/21 19:26,
Bug,ATLAS-3398,13254638,Duplicates for unique attributes ,amestry,bolke,Blocker,Resolved,Fixed,04/Sep/19 07:47,31/Jul/20 21:20,
