Issue Type,Issue key,Issue id,Summary,Assignee,Reporter,Priority,Status,Resolution,Created,Updated,Due Date
Bug,FLUME-3395,13416815,Fix for CVE-2021-44228,tmgstev,tmgstev,Blocker,Resolved,Fixed,11/Dec/21 19:14,13/Dec/21 20:12,
Bug,FLUME-3392,13382638,kafka channel flume hdfs file close failed cause retry and data losse,,dylan2020,Blocker,Open,,08/Jun/21 07:08,08/Jun/21 08:28,
Bug,FLUME-3352,13279808,Unnecessary canary test will block on readonly spooldir while another trackerdir is set.,,hackty,Blocker,Open,,16/Jan/20 11:56,07/Apr/21 11:15,
Bug,FLUME-3390,13367805,"build failed on AArch64, Fedora 33 ",,LutzWeischerFujitsu,Blocker,Open,,26/Mar/21 08:46,26/Mar/21 08:46,
Bug,FLUME-3103,13076981,flume-ng-elasticsearch-sink / 1.7.0,,santy79,Blocker,Open,,02/Jun/17 20:38,24/Nov/20 19:31,
Bug,FLUME-3321,13219445, Do not free disk space after removing files on several computers,,18121052390,Blocker,Open,,05/Mar/19 02:39,04/Apr/20 04:49,
Bug,FLUME-542,12517491,S3 sink cannot be used if your AWS keys needs escaping,,flume_robert.slifka@gmail.com,Blocker,Open,,28/Feb/11 23:48,04/Apr/20 04:45,
Bug,FLUME-3261,13175036,cant connect to es 5.x when x-pack or search-guard is enable ,,andy_zhou,Blocker,Open,,27/Jul/18 00:47,04/Apr/20 04:41,
Bug,FLUME-3232,13155679,some files gibberish,,lee hj,Blocker,Open,,27/Apr/18 10:57,04/Aug/18 22:21,
Bug,FLUME-3235,13156813,Flume TAILDIR source lost last line when file upload from windows,,1916038084@qq.com,Blocker,Open,,03/May/18 09:01,29/Jun/18 07:12,
Bug,FLUME-3245,13165795,NettyAvroRpcClient does not support IbmX509,,carlspring,Blocker,Open,,13/Jun/18 09:49,13/Jun/18 09:49,
Bug,FLUME-2786,12862435, It will enter a deadlock state when modify the conf file before I stop flume-ng,,godfreyhe,Blocker,Resolved,Fixed,08/Sep/15 14:40,09/Mar/18 12:20,
Bug,FLUME-3102,13076976,Outdated ElasticSearch version,hwahrmann,bbe,Blocker,In Progress,,02/Jun/17 20:23,19/Jan/18 08:50,
Bug,FLUME-3196,13119598,Flume1.6.0 hive-sink error,,zhoubh,Blocker,Resolved,Fixed,20/Nov/17 09:34,21/Nov/17 06:44,
Bug,FLUME-3108,13079032,Can not roll logs for hdfs sink based on timestamp of log content.,,qihuagao,Blocker,Open,,12/Jun/17 03:27,14/Jun/17 06:27,
Bug,FLUME-3097,13074393,CLONE - WAL data grows forever even though data is delivered in E2E,,skysword_li,Blocker,Open,,24/May/17 03:42,24/May/17 03:43,
Bug,FLUME-717,12517668,WAL data grows forever even though data is delivered in E2E,,esammer,Blocker,Reopened,,21/Jul/11 20:05,24/May/17 03:42,
Bug,FLUME-3080,13060637,Close failure in HDFS Sink might cause data loss,denes,denes,Blocker,Resolved,Fixed,31/Mar/17 09:52,09/Apr/17 11:16,
Bug,FLUME-3001,13009140,Flume Twitter data Streaming issue,,nanda619,Blocker,Open,,02/Oct/16 19:38,13/Mar/17 18:05,
Bug,FLUME-3047,13036949,Avro Sink HDFS with org.apache.flume.sink.hdfs.AvroEventSerializer$Builder not working,,contactsantoshb@gmail.com,Blocker,Open,,23/Jan/17 04:16,23/Jan/17 04:16,
Bug,FLUME-2484,12745365,NullPointerException in Kafka Sink test,,smolav,Blocker,Resolved,Not A Bug,01/Oct/14 22:10,04/Sep/16 22:02,
Bug,FLUME-2969,12996843,IBM MQ initialContextFactory flume configuration issue,,kevintvh,Blocker,Open,,12/Aug/16 05:26,12/Aug/16 05:26,
Bug,FLUME-710,12517663,ExecNIOSource blocks indefinitely if an exception is encountered,,esammer,Blocker,Resolved,Invalid,20/Jul/11 19:31,23/Jul/16 08:36,
Bug,FLUME-2513,12749748,testConsumeFileRandomlyNewFile fails,,smolav,Blocker,Closed,Duplicate,22/Oct/14 10:47,16/Jun/16 19:01,
Bug,FLUME-2476,12743863,ContentBuilderUtil.appendField incorrectly manages json-like data,paliwalashish,pavel.zalunin,Blocker,Closed,Duplicate,24/Sep/14 21:13,16/Jun/16 19:01,
Bug,FLUME-2792,12863337,Flume Kafka Kerberos Support,,harisekhon,Blocker,Resolved,Won't Fix,11/Sep/15 09:43,23/May/16 12:21,
Bug,FLUME-2688,12825359,the avro sink in sinkgroup will never close the connection when process failed,,cwtree,Blocker,Open,,28/Apr/15 03:08,16/Dec/15 23:31,
Bug,FLUME-2790,12863082,Flume Kafka NullPointerException while trying to connect to Kafka topic as source (consumer.ConsumerFetcherManager LeaderFinderThread Failed to find leader for Set),,harisekhon,Blocker,Resolved,Later,10/Sep/15 15:10,23/Sep/15 16:00,
Bug,FLUME-2696,12827891,AbstractRpcSink.destroyConnection can not close the connection between server(avro source),,cwtree,Blocker,Open,,07/May/15 01:02,07/May/15 01:02,
Bug,FLUME-2379,12711907,Flume's pom files are invalid and not parseable by non-maven build tools,hshreedharan,pwendell,Blocker,Resolved,Fixed,02/May/14 08:56,17/Apr/15 01:00,
Bug,FLUME-1025,12545806,"[flume-0.9.4]: alwayse encountered ""Address already in use"" during start more than 1 agent in one node",,fang fang chen,Blocker,Resolved,Won't Fix,09/Mar/12 10:51,05/Nov/14 11:30,
Bug,FLUME-993,12543901,Tail thread nterrupte: null / Tail thread exiting With S3 bucket,,zenloop@gmail.com,Blocker,Resolved,Won't Fix,23/Feb/12 20:57,05/Nov/14 11:27,
Bug,FLUME-929,12538165,"Exception ""too many open files"" in ThriftEventSource (with infinite loop as result)",,bertpassek,Blocker,Resolved,Won't Fix,12/Jan/12 08:31,05/Nov/14 11:23,
Bug,FLUME-859,12532673,Deadlock in Flume Master during execution of command through flume shell,,asudak,Blocker,Resolved,Won't Fix,25/Nov/11 06:42,05/Nov/14 10:54,
Bug,FLUME-711,12517662,Reconfiguring nodes while transfering data causes unrecoverable failure,,esammer,Blocker,Resolved,Won't Fix,20/Jul/11 22:18,05/Nov/14 10:36,
Bug,FLUME-2397,12718458,HBase-98 compatibility,jarcec,hshreedharan,Blocker,Resolved,Fixed,04/Jun/14 20:13,10/Jun/14 18:38,
Bug,FLUME-2191,12668538,HDFS Minicluster tests failing after protobuf upgrade.,hshreedharan,hshreedharan,Blocker,Resolved,Fixed,13/Sep/13 19:13,04/Oct/13 03:09,
Bug,FLUME-1246,12558717,FileChannel hangs silently when Hadoop libs not found,,juhanic,Blocker,Resolved,Fixed,31/May/12 03:57,08/Jul/13 07:49,
Bug,FLUME-1741,12617820,ElasticSearch tests leave directory data/elasticsearch/nodes/ lying around,jlord,brocknoland,Blocker,Resolved,Fixed,27/Nov/12 16:29,23/Jun/13 09:41,
Bug,FLUME-2098,12654039,Make Solr sink depend on the CDK version of morphlines,rvs,rvs,Blocker,Resolved,Fixed,20/Jun/13 23:35,23/Jun/13 09:41,
Bug,FLUME-2069,12651144,Issue with Flume load balancing round robin,,oawad79,Blocker,Open,,05/Jun/13 16:07,07/Jun/13 21:33,
Bug,FLUME-1743,12618043,Multiport syslog tcp source does not load (v1.3 rc5),hshreedharan,roshan_naik,Blocker,Resolved,Fixed,28/Nov/12 19:24,30/Nov/12 00:57,
Bug,FLUME-1723,12616553,AsyncHBase and Avro bring in different versions of Netty,mpercy,mpercy,Blocker,Resolved,Fixed,18/Nov/12 00:27,18/Nov/12 03:40,
Bug,FLUME-1711,12616169,Update Flume User Guide,will@cloudera.com,will@cloudera.com,Blocker,Resolved,Fixed,15/Nov/12 00:31,16/Nov/12 03:12,
Bug,FLUME-1707,12615973,Update FlumeDevGuide,will@cloudera.com,will@cloudera.com,Blocker,Resolved,Fixed,13/Nov/12 22:30,16/Nov/12 03:12,
Bug,FLUME-1705,12615970,SpoolDirectory short name points at the wrong class,alo.alt,brocknoland,Blocker,Resolved,Fixed,13/Nov/12 22:12,16/Nov/12 03:12,
Bug,FLUME-1651,12612288,in the hadoop-0.23 profile HBase version needs to be at least 0.94.2 ,rvs,rvs,Blocker,Resolved,Fixed,17/Oct/12 19:22,19/Oct/12 00:10,
Bug,FLUME-1650,12612261,Fix flume-ng-hbase-sink compilation against Hadoop 2.X,rvs,rvs,Blocker,Resolved,Fixed,17/Oct/12 17:34,19/Oct/12 00:10,
