label,in_change,out_change,in_file,out_file,in_loc,out_loc,in_change_file_r,out_change_file_r,in_change_loc_r,out_change_loc_r
0,4.0,156,2,738,67,114059,1.0,0.10569105691056911,0.0008910670527957229,2.041362986660609e-05
1,4.0,141,2,738,227,113899,1.0,0.09552845528455285,7.762619107686934e-05,5.453475223218283e-06
2,42.0,763,7,733,499,113627,0.8571428571428571,0.14870395634379263,0.00016867402138947234,1.3456820264835514e-05
3,2.0,66,3,737,53,114073,0.2222222222222222,0.029850746268656716,0.000711997152011392,1.0916544834166933e-05
4,1.0,410,2,738,868,113258,0.25,0.2777777777777778,1.3272738856208457e-06,4.1705683520347045e-06
5,1.0,44,2,738,82,114044,0.25,0.02981029810298103,0.000148720999405116,4.705073180997322e-06
6,6.0,57,3,737,244,113882,0.6666666666666666,0.025780189959294438,0.00010077936038699274,2.051303607041053e-06
7,2.0,48,2,738,83,114043,0.5,0.032520325203252036,0.00029031789809841774,5.07101052245248e-06
8,16.0,160,2,738,484,113642,4.0,0.10840108401084012,6.830134553650706e-05,2.9089466253382925e-06
9,0.0,128,1,739,88,114038,0.0,0.17320703653585928,0.0,1.2754919014236084e-05
10,0.0,84,1,739,207,113919,0.0,0.11366711772665765,0.0,3.5621547015798536e-06
11,3.0,273,2,738,255,113871,0.75,0.18495934959349594,4.61361014994233e-05,9.401763708882135e-06
12,2.0,48,2,738,44,114082,0.5,0.032520325203252036,0.0010330578512396695,9.562499701171884e-06
13,0.0,38,1,739,281,113845,0.0,0.05142083897158322,0.0,1.1878546859851433e-06
14,1.0,268,2,738,134,113992,0.25,0.18157181571815717,5.569169079973268e-05,1.7545090883570776e-05
15,0.0,262,1,739,270,113856,0.0,0.35453315290933696,0.0,8.522786417671185e-06
16,0.0,0,1,739,17,114109,0.0,0.0,0.0,0.0
17,8.0,499,2,738,299,113827,2.0,0.33807588075880757,8.948445766825875e-05,1.4661691172307397e-05
18,0.0,327,1,739,363,113763,0.0,0.44248985115020295,0.0,7.918448408366444e-06
19,0.0,199,1,739,140,113986,0.0,0.2692828146143437,0.0,1.2470203107649811e-05
20,0.0,176,1,739,20,114106,0.0,0.2381596752368065,0.0,7.712127320211032e-05
21,0.0,188,1,739,202,113924,0.0,0.2543978349120433,0.0,8.169420572547756e-06
22,0.0,201,1,739,211,113915,0.0,0.2719891745602165,0.0,8.362433701190274e-06
23,0.0,4,1,739,23,114103,0.0,0.005412719891745603,0.0,1.5241759066655642e-06
24,0.0,10,1,739,17,114109,0.0,0.013531799729364006,0.0,5.155029788339632e-06
25,1.0,44,2,738,138,113988,0.25,0.02981029810298103,5.250997689561016e-05,2.7971416264005414e-06
26,0.0,214,1,739,158,113968,0.0,0.2895805142083897,0.0,1.1884304188428642e-05
27,0.0,370,1,739,105,114021,0.0,0.5006765899864682,0.0,3.090491684698015e-05
28,0.0,74,1,739,21,114105,0.0,0.10013531799729364,0.0,3.0882165757938076e-05
29,0.0,0,2,738,37,114089,0.0,0.0,0.0,0.0
30,1.0,6,2,738,216,113910,0.25,0.0040650406504065045,2.143347050754458e-05,2.438572362196276e-07
31,0.0,129,1,739,88,114038,0.0,0.17456021650879566,0.0,1.2854566819034803e-05
32,0.0,95,1,739,202,113924,0.0,0.12855209742895804,0.0,4.1281646510214735e-06
33,0.0,33,1,739,449,113677,0.0,0.044654939106901215,0.0,6.465393988472752e-07
34,0.0,7,1,739,509,113617,0.0,0.009472259810554804,0.0,1.2104223659908111e-07
35,0.0,72,1,739,93,114033,0.0,0.09742895805142084,0.0,6.789206180553846e-06
36,2.0,386,2,738,55,114071,0.5,0.26151761517615174,0.0006611570247933885,6.152468040239692e-05
37,0.0,47,1,739,246,113880,0.0,0.06359945872801083,0.0,1.6777038160265692e-06
38,0.0,62,1,739,49,114077,0.0,0.08389715832205684,0.0,1.1091684760722842e-05
39,0.0,172,1,739,800,113326,0.0,0.2327469553450609,0.0,1.8971815823376806e-06
40,0.0,0,1,739,102,114024,0.0,0.0,0.0,0.0
41,0.0,14,1,739,15,114111,0.0,0.018944519621109608,0.0,8.179170573681182e-06
42,0.0,0,1,739,6,114120,0.0,0.0,0.0,0.0
43,0.0,316,1,739,116,114010,0.0,0.42760487144790255,0.0,2.389385081163479e-05
44,0.0,13,1,739,30,114096,0.0,0.017591339648173207,0.0,3.797971299023045e-06
45,0.0,14,1,739,244,113882,0.0,0.018944519621109608,0.0,5.038289561153464e-07
46,0.0,1,1,739,1004,113122,0.0,0.0013531799729364006,0.0,8.804794259781298e-09
47,0.0,63,1,739,153,113973,0.0,0.08525033829499323,0.0,3.6128267737302076e-06
48,0.0,306,1,739,207,113919,0.0,0.4140730717185386,0.0,1.2976420698612324e-05
49,0.0,33,1,739,19,114107,0.0,0.044654939106901215,0.0,1.5221170526463388e-05
50,0.0,39,1,739,4,114122,0.0,0.05277401894451962,0.0,8.54348854734407e-05
51,0.0,135,1,739,30,114096,0.0,0.18267929634641408,0.0,3.944047118216239e-05
52,0.0,63,1,739,180,113946,0.0,0.08525033829499323,0.0,3.0716304214276937e-06
53,0.0,82,1,739,48,114078,0.0,0.11096075778078485,0.0,1.4975133972661979e-05
54,0.0,7,1,739,175,113951,0.0,0.009472259810554804,0.0,3.510280734701758e-07
55,0.0,44,1,739,5,114121,0.0,0.05953991880920163,0.0,7.711113642537307e-05
56,0.0,4,1,739,171,113955,0.0,0.005412719891745603,0.0,2.052723694923178e-07
57,0.0,416,1,739,221,113905,0.0,0.5629228687415426,0.0,1.6525639271116022e-05
58,0.0,19,1,739,34,114092,0.0,0.02571041948579161,0.0,4.898008005922981e-06
59,0.0,584,1,739,653,113473,0.0,0.790257104194858,0.0,7.881468224140157e-06
60,0.0,56,1,739,31,114095,0.0,0.07577807848443843,0.0,1.583287271925348e-05
61,0.0,136,1,739,42,114084,0.0,0.18403247631935046,0.0,2.838343008743766e-05
62,0.0,340,1,739,664,113462,0.0,0.46008119079837617,0.0,4.512948764970513e-06
63,0.0,0,1,739,14,114112,0.0,0.0,0.0,0.0
64,0.0,301,1,739,236,113890,0.0,0.40730717185385656,0.0,1.1198733240965487e-05
65,0.0,1,1,739,14,114112,0.0,0.0013531799729364006,0.0,6.259514461982213e-07
66,0.0,6,1,739,9,114117,0.0,0.008119079837618403,0.0,5.8419575231268494e-06
67,0.0,148,1,739,31,114095,0.0,0.20027063599458728,0.0,4.184402075802705e-05
68,0.0,58,1,739,91,114035,0.0,0.07848443843031123,0.0,5.589184350091089e-06
69,0.0,154,1,739,86,114040,0.0,0.2083897158322057,0.0,1.570236473534378e-05
70,0.0,195,1,739,782,113344,0.0,0.2638700947225981,0.0,2.20003364810437e-06
71,0.0,195,1,739,108,114018,0.0,0.2638700947225981,0.0,1.5835706253008783e-05
72,0.0,490,1,739,461,113665,0.0,0.6630581867388363,0.0,9.351222667592756e-06
73,0.0,16,1,739,70,114056,0.0,0.02165087956698241,0.0,2.0040280964739125e-06
74,0.0,101,1,739,37,114089,0.0,0.13667117726657646,0.0,2.392631831052713e-05
75,0.0,50,1,739,51,114075,0.0,0.06765899864682003,0.0,8.59427707089849e-06
76,0.0,7,1,739,19,114107,0.0,0.009472259810554804,0.0,3.2287331419770825e-06
77,0.0,3,1,739,61,114065,0.0,0.0040595399188092015,0.0,4.3116054766012764e-07
78,0.0,121,1,739,54,114072,0.0,0.16373477672530445,0.0,1.9643214292207912e-05
79,0.0,420,1,739,144,113982,0.0,0.5683355886332883,0.0,2.5588835664110708e-05
80,0.0,30,1,739,115,114011,0.0,0.04059539918809202,0.0,2.2881087370288067e-06
81,0.0,0,1,739,13,114113,0.0,0.0,0.0,0.0
82,0.0,82,1,739,42,114084,0.0,0.11096075778078485,0.0,1.7113538729190354e-05
83,0.0,521,1,739,294,113832,0.0,0.7050067658998647,0.0,1.556775637375619e-05
84,0.0,346,1,739,90,114036,0.0,0.46820027063599456,0.0,3.3712550812414016e-05
85,0.0,218,1,739,529,113597,0.0,0.29499323410013534,0.0,3.627721671142271e-06
86,0.0,351,1,739,243,113883,0.0,0.4749661705006766,0.0,1.2683582663298688e-05
87,0.0,195,1,739,118,114008,0.0,0.2638700947225981,0.0,1.4494968536254963e-05
88,0.0,49,1,739,335,113791,0.0,0.06630581867388363,0.0,1.2854149863909967e-06
89,0.0,199,1,739,123,114003,0.0,0.2692828146143437,0.0,1.4191610561667575e-05
90,0.0,98,1,739,44,114082,0.0,0.13261163734776726,0.0,1.9523436889892596e-05
91,0.0,95,1,739,501,113625,0.0,0.12855209742895804,0.0,1.6688295576064593e-06
92,0.0,20,1,739,39,114087,0.0,0.02706359945872801,0.0,4.494995160013961e-06
93,0.0,5,1,739,62,114064,0.0,0.006765899864682003,0.0,7.070167738315558e-07
94,0.0,56,1,739,127,113999,0.0,0.07577807848443843,0.0,3.8679714900109985e-06
95,0.0,129,1,739,8,114118,0.0,0.17456021650879566,0.0,0.00014130110937801224
96,0.0,0,1,739,78,114048,0.0,0.0,0.0,0.0
97,0.0,154,1,739,751,113375,0.0,0.2083897158322057,0.0,1.8086872776760717e-06
98,0.0,15,1,739,13,114113,0.0,0.02029769959404601,0.0,1.011143475192269e-05
99,0.0,73,1,739,131,113995,0.0,0.09878213802435724,0.0,4.8883890380889214e-06
100,0.0,9,1,739,40,114086,0.0,0.012178619756427604,0.0,1.972196413232123e-06
101,0.0,36,1,739,76,114050,0.0,0.04871447902571042,0.0,4.153303029603821e-06
102,0.0,30,1,739,136,113990,0.0,0.04059539918809202,0.0,1.935154270498444e-06
103,0.0,0,1,739,42,114084,0.0,0.0,0.0,0.0
104,0.0,11,1,739,74,114052,0.0,0.014884979702300407,0.0,1.3033410080371117e-06
105,0.0,0,1,739,18,114108,0.0,0.0,0.0,0.0
106,0.0,93,1,739,226,113900,0.0,0.12584573748308525,0.0,3.6128571095589205e-06
107,0.0,97,1,739,22,114104,0.0,0.13125845737483086,0.0,3.86409846200914e-05
108,0.0,5,1,739,91,114035,0.0,0.006765899864682003,0.0,4.81826237076818e-07
109,0.0,44,1,739,7,114119,0.0,0.05953991880920163,0.0,5.508034845831356e-05
110,0.0,134,1,739,254,113872,0.0,0.18132611637347767,0.0,4.6329128768978344e-06
111,0.0,23,1,739,20,114106,0.0,0.03112313937753721,0.0,1.0078348202548508e-05
112,0.0,72,1,739,103,114023,0.0,0.09742895805142084,0.0,6.1305975655226775e-06
113,0.0,143,1,739,50,114076,0.0,0.19350473612990526,0.0,2.5071005294715805e-05
114,0.0,165,1,739,126,114000,0.0,0.2232746955345061,0.0,1.1487050960735171e-05
115,0.0,272,1,739,171,113955,0.0,0.3680649526387009,0.0,1.395852112547761e-05
116,0.0,3,1,739,8,114118,0.0,0.0040595399188092015,0.0,3.2860723111165634e-06
117,0.0,6,1,739,10,114116,0.0,0.008119079837618403,0.0,5.257807844649304e-06
118,0.0,52,1,739,28,114098,0.0,0.07036535859269283,0.0,1.6276734536476163e-05
119,0.0,6,1,739,40,114086,0.0,0.008119079837618403,0.0,1.3147976088214154e-06
120,0.0,2,1,739,44,114082,0.0,0.0027063599458728013,0.0,3.984374875488285e-07
121,0.0,135,1,739,26,114100,0.0,0.18267929634641408,0.0,4.550664059866514e-05
122,0.0,232,1,739,51,114075,0.0,0.31393775372124494,0.0,3.9877445608968986e-05
123,0.0,43,1,739,57,114069,0.0,0.058186738836265225,0.0,6.613417886650016e-06
124,0.0,4,1,739,54,114072,0.0,0.005412719891745603,0.0,6.493624559407574e-07
125,0.0,208,1,739,255,113871,0.0,0.2814614343707713,0.0,7.163248540100675e-06
126,0.0,1,1,739,166,113960,0.0,0.0013531799729364006,0.0,5.2861498644631175e-08
127,0.0,325,1,739,216,113910,0.0,0.4397834912043302,0.0,1.320893362856316e-05
128,0.0,250,1,739,41,114085,0.0,0.3382949932341001,0.0,5.3447525753690284e-05
129,0.0,47,1,739,226,113900,0.0,0.06359945872801083,0.0,1.8258525177340781e-06
130,0.0,0,1,739,49,114077,0.0,0.0,0.0,0.0
131,0.0,455,1,739,48,114078,0.0,0.6156968876860622,0.0,8.309373118977074e-05
132,0.0,285,1,739,337,113789,0.0,0.38565629228687415,0.0,7.432153629760825e-06
133,0.0,362,1,739,326,113800,0.0,0.489851150202977,0.0,9.757728012765911e-06
134,0.0,221,1,739,128,113998,0.0,0.29905277401894453,0.0,1.5145550799136827e-05
135,0.0,3,1,739,12,114114,0.0,0.0040595399188092015,0.0,2.190791664475875e-06
136,0.0,0,1,739,35,114091,0.0,0.0,0.0,0.0
137,0.0,39,1,739,16,114110,0.0,0.05277401894451962,0.0,2.136096748751205e-05
138,0.0,35,1,739,34,114092,0.0,0.04736129905277402,0.0,9.022646326700228e-06
139,0.0,423,1,739,320,113806,0.0,0.5723951285520974,0.0,1.1615160887826653e-05
140,0.0,78,1,739,11,114115,0.0,0.10554803788903924,0.0,6.213827359163205e-05
141,0.0,195,1,739,77,114049,0.0,0.2638700947225981,0.0,2.2205083187643316e-05
142,0.0,25,1,739,6,114120,0.0,0.03382949932341001,0.0,3.651127468162168e-05
143,0.0,51,1,739,82,114044,0.0,0.06901217861975643,0.0,5.453607550701441e-06
144,0.0,32,1,739,60,114066,0.0,0.04330175913396482,0.0,4.675655614585707e-06
145,0.0,23,1,739,186,113940,0.0,0.03112313937753721,0.0,1.0852721957038321e-06
146,0.0,53,1,739,309,113817,0.0,0.07171853856562922,0.0,1.5069896025963213e-06
147,0.0,21,1,739,77,114049,0.0,0.028416779431664412,0.0,2.3913166509769724e-06
148,0.0,9,1,739,213,113913,0.0,0.012178619756427604,0.0,3.7092799879522586e-07
149,0.0,56,1,739,123,114003,0.0,0.07577807848443843,0.0,3.993619052529569e-06
