label,in_change,out_change,in_file,out_file,in_loc,out_loc,in_change_file_r,out_change_file_r,in_change_loc_r,out_change_loc_r
0,145.0,2590,20,720,7153,106973,0.3625,0.1798611111111111,2.83394587933422e-06,3.3848339123880228e-06
1,1.0,254,12,728,212,113914,0.006944444444444444,0.029075091575091576,2.2249911000356e-05,1.051769938328186e-05
2,177.0,3230,27,713,3438,110688,0.24279835390946503,0.16778349176666146,1.4974816926517812e-05,8.487818996939298e-06
3,21.0,1301,23,717,2132,111994,0.03969754253308128,0.07889151658480384,4.620031046608633e-06,5.448730652650549e-06
4,39.0,1639,19,721,2405,111721,0.10803324099722991,0.1196437696182203,6.742709445412148e-06,6.099989093338598e-06
5,153.0,4034,39,701,6041,108085,0.10059171597633136,0.1475547752295256,4.192506642451333e-06,6.17819527886178e-06
6,39.0,1238,10,730,220,113906,0.39,0.1695890410958904,0.0008057851239669421,4.940277709051962e-05
7,915.0,9035,58,682,20554,93572,0.2719976218787158,0.22841035493983214,2.1658500709674508e-06,4.6977066385808525e-06
8,25.0,1139,17,723,722,113404,0.08650519031141868,0.09266943291839558,4.795850246698537e-05,1.391099367632364e-05
9,88.0,2758,24,716,5984,108142,0.1527777777777778,0.16049813780260708,2.4575338156653034e-06,4.261949306699836e-06
10,105.0,2736,38,702,4931,109195,0.07271468144044321,0.10256410256410256,4.318364470043527e-06,5.081340967738602e-06
11,29.0,1323,30,710,1519,112607,0.03222222222222222,0.06211267605633803,1.2568471080164742e-05,7.73457903980644e-06
12,76.0,1904,19,721,1449,112677,0.21052631578947367,0.13898824731732243,3.619735368767685e-05,1.1661738081735836e-05
13,2.0,124,4,736,124,114002,0.125,0.042119565217391304,0.00013007284079084288,8.771775933755548e-06
14,48.0,816,18,722,1183,112943,0.14814814814814814,0.06278855032317636,3.429823314081068e-05,6.107255577546582e-06
15,4.0,177,13,727,500,113626,0.023668639053254437,0.018728176912496033,1.6e-05,3.1154841321528523e-06
16,221.0,2851,29,711,2632,111494,0.262782401902497,0.13827052718366556,3.190219048234957e-05,9.715380979515411e-06
17,126.0,1392,21,719,4821,109305,0.2857142857142857,0.0921915358633022,5.421210641526706e-06,2.6415697049756613e-06
18,99.0,525,12,728,391,113735,0.6875,0.06009615384615385,0.0006475624832385973,1.180560950844028e-05
19,0.0,308,10,730,168,113958,0.0,0.04219178082191781,0.0,1.608779842866085e-05
20,171.0,3801,29,711,6256,107870,0.20332936979785968,0.18434453659246325,4.369207095714968e-06,5.632490278508492e-06
21,65.0,2549,37,703,3727,110399,0.04747991234477721,0.09799700126869401,4.679447413413845e-06,6.195056950691913e-06
22,31.0,1865,29,711,2784,111342,0.036860879904875146,0.09045055531306077,3.999661448011626e-06,6.016592348685638e-06
23,331.0,3259,37,703,4708,109418,0.24178232286340395,0.1252931452077967,1.4933275777811624e-05,6.326436219824569e-06
24,318.0,2155,17,723,2312,111814,1.1003460207612457,0.17533154340574403,5.949102620897738e-05,8.336106619971886e-06
25,75.0,1155,21,719,3630,110496,0.17006802721088435,0.07649513212795549,5.691778794708923e-06,2.8795777058157595e-06
26,696.0,6482,43,697,12998,101128,0.37641968631692807,0.21627573320876847,4.1196106702746245e-06,4.931296045387229e-06
27,6.0,534,14,726,984,113142,0.030612244897959183,0.0525383707201889,6.1967083085465e-06,4.796476346796665e-06
28,73.0,1028,13,727,2252,111874,0.4319526627218935,0.10877155856523119,1.4394152109512287e-05,4.080332571554824e-06
29,55.0,1006,22,718,1902,112224,0.11363636363636363,0.06368700936946062,1.5203432990454455e-05,4.713046492264082e-06
30,265.0,4237,25,715,5572,108554,0.424,0.23703496503496504,8.535395673887848e-06,7.0048933139372905e-06
31,171.0,537,10,730,422,113704,1.71,0.07356164383561643,0.0009602210192942657,1.1191443118458737e-05
